Type,Model,GPU,Run,Metric,Value
Local,Llama-3.1-8B,H200,2,Distance,1.531804
Local,Llama-3.1-8B,H200,3,Distance,1.749797
Local,Llama-3.1-8B,H200,4,Distance,1.876522
Local,Llama-3.1-8B,H200,5,Distance,1.569431
Local,Llama-3.1-8B,H200,6,Distance,1.660626
Local,Llama-3.1-8B,H200,7,Distance,1.900029
Local,Llama-3.1-8B,H200,8,Distance,1.62832
Local,Llama-3.1-8B,H200,9,Distance,1.589059
Local,Llama-3.1-8B,H200,10,Distance,2.289428
Local,Llama-3.1-8B,H200,1,Energy,0.459054
Local,Llama-3.1-8B,H200,2,Energy,0.432258
Local,Llama-3.1-8B,H200,3,Energy,0.493773
Local,Llama-3.1-8B,H200,4,Energy,0.529534
Local,Llama-3.1-8B,H200,5,Energy,0.442876
Local,Llama-3.1-8B,H200,6,Energy,0.46861
Local,Llama-3.1-8B,H200,7,Energy,0.536167
Local,Llama-3.1-8B,H200,8,Energy,0.459494
Local,Llama-3.1-8B,H200,9,Energy,0.448415
Local,Llama-3.1-8B,H200,10,Energy,0.646051
Local,Llama-3.1-8B,H200,1,Time,00:33:17
Local,Llama-3.1-8B,H200,2,Time,00:31:56
Local,Llama-3.1-8B,H200,3,Time,00:36:37
Local,Llama-3.1-8B,H200,4,Time,00:39:51
Local,Llama-3.1-8B,H200,5,Time,00:34:43
Local,Llama-3.1-8B,H200,6,Time,00:34:48
Local,Llama-3.1-8B,H200,7,Time,00:39:23
Local,Llama-3.1-8B,H200,8,Time,00:33:43
Local,Llama-3.1-8B,H200,9,Time,00:33:44
Local,Llama-3.1-8B,H200,10,Time,00:49:09
