model_name,model_type,gpu,run,filename,num_queries,total_input_tokens,total_output_tokens,total_tokens,avg_input_tokens,avg_output_tokens,avg_total_tokens,min_input_tokens,max_input_tokens,min_output_tokens,max_output_tokens
Mistral-Nemo-Base-2407,Local,H100-PCI,7,Mistral-Nemo-Base-2407_H100-PCI_run7_2281451.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,H200,2,Mistral-Nemo-Base-2407_H200_run2_2281456.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,2,Mistral-Nemo-Instruct-2407_A100-40GB_run2_2281467.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,A100-80GB,4,Mistral-Nemo-Base-2407_A100-80GB_run4_2281414.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,10,Mistral-Nemo-Base-2407_A100-PCI_run10_2281432.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H200,8,Mistral-Nemo-Instruct-2407_H200_run8_2281524.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Base-2407,Local,A100-80GB,10,Mistral-Nemo-Base-2407_A100-80GB_run10_2281421.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,6,Mistral-Nemo-Instruct-2407_A100-80GB_run6_2281481.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H200,9,Mistral-7B-Instruct-v0.3_H200_run9_2281393.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,6,Mistral-Nemo-Base-2407_A100-40GB_run6_2281401.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,8,Mistral-Nemo-Instruct-2407_A100-40GB_run8_2281473.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-v0.3,Local,A100-PCI,10,Mistral-7B-v0.3_A100-PCI_run10_2281298.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-v0.3,Local,A100-80GB,1,Mistral-7B-v0.3_A100-80GB_run1_2281275.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-Instruct-v0.3,Local,H200,3,Mistral-7B-Instruct-v0.3_H200_run3_2281387.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,A100-40GB,7,Mistral-7B-v0.3_A100-40GB_run7_2281268.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,5,Mistral-Nemo-Instruct-2407_H100-PCI_run5_2281511.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,H100-PCI,7,Mistral-7B-v0.3_H100-PCI_run7_2281315.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,2,Mistral-Nemo-Instruct-2407_A100-PCI_run2_2281487.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,H100-PCI,2,Mistral-Nemo-Base-2407_H100-PCI_run2_2281445.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,A100-80GB,4,Mistral-7B-v0.3_A100-80GB_run4_2281279.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-v0.3,Local,A100-40GB,2,Mistral-7B-v0.3_A100-40GB_run2_2281263.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,4,Mistral-7B-Instruct-v0.3_H100-PCI_run4_2281378.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Base-2407,Local,H100,1,Mistral-Nemo-Base-2407_H100_run1_2281434.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,A100-80GB,6,Mistral-7B-v0.3_A100-80GB_run6_2281282.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,10,Mistral-Nemo-Instruct-2407_A100-PCI_run10_2281495.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,9,Mistral-7B-Instruct-v0.3_H100-PCI_run9_2281383.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,H200,1,Mistral-7B-v0.3_H200_run1_2281320.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,1,Mistral-Nemo-Instruct-2407_A100-80GB_run1_2281476.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Instruct-2407,Local,H200,1,Mistral-Nemo-Instruct-2407_H200_run1_2281517.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,8,Mistral-7B-Instruct-v0.3_A100-40GB_run8_2281339.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,8,Mistral-Nemo-Base-2407_A100-40GB_run8_2281405.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,4,Mistral-7B-Instruct-v0.3_A100-80GB_run4_2281345.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Instruct-2407,Local,H100,2,Mistral-Nemo-Instruct-2407_H100_run2_2281498.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,H100,1,Mistral-7B-v0.3_H100_run1_2281299.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-v0.3,Local,H100-PCI,2,Mistral-7B-v0.3_H100-PCI_run2_2281310.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,10,Mistral-7B-Instruct-v0.3_A100-40GB_run10_2281341.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-v0.3,Local,A100-PCI,1,Mistral-7B-v0.3_A100-PCI_run1_2281289.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,7,Mistral-Nemo-Instruct-2407_A100-80GB_run7_2281482.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-v0.3,Local,A100-PCI,3,Mistral-7B-v0.3_A100-PCI_run3_2281291.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,10,Mistral-7B-Instruct-v0.3_A100-80GB_run10_2281351.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-Instruct-v0.3,Local,H100,5,Mistral-7B-Instruct-v0.3_H100_run5_2281367.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,A100-80GB,5,Mistral-7B-v0.3_A100-80GB_run5_2281281.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-v0.3,Local,A100-80GB,10,Mistral-7B-v0.3_A100-80GB_run10_2281288.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,7,Mistral-7B-Instruct-v0.3_A100-80GB_run7_2281348.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,3,Mistral-Nemo-Base-2407_A100-40GB_run3_2281398.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,H100,3,Mistral-7B-v0.3_H100_run3_2281301.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,10,Mistral-Nemo-Instruct-2407_A100-80GB_run10_2281485.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-v0.3,Local,A100-40GB,10,Mistral-7B-v0.3_A100-40GB_run10_2281272.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,3,Mistral-7B-Instruct-v0.3_A100-PCI_run3_2281355.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-v0.3,Local,A100-40GB,5,Mistral-7B-v0.3_A100-40GB_run5_2281266.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,H200,7,Mistral-Nemo-Base-2407_H200_run7_2281461.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,H200,6,Mistral-7B-v0.3_H200_run6_2281325.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,6,Mistral-7B-Instruct-v0.3_H100-PCI_run6_2281380.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,4,Mistral-Nemo-Base-2407_A100-PCI_run4_2281426.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,9,Mistral-Nemo-Instruct-2407_A100-40GB_run9_2281474.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,H100,5,Mistral-Nemo-Base-2407_H100_run5_2281438.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,9,Mistral-Nemo-Instruct-2407_A100-PCI_run9_2281494.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,4,Mistral-Nemo-Base-2407_A100-40GB_run4_2281399.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,3,Mistral-7B-Instruct-v0.3_A100-80GB_run3_2281344.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,A100-80GB,2,Mistral-Nemo-Base-2407_A100-80GB_run2_2281411.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,2,Mistral-Nemo-Instruct-2407_H100-PCI_run2_2281508.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,5,Mistral-Nemo-Instruct-2407_A100-40GB_run5_2281470.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-v0.3,Local,H200,10,Mistral-7B-v0.3_H200_run10_2281330.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,3,Mistral-7B-Instruct-v0.3_H100-PCI_run3_2281377.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Base-2407,Local,A100-80GB,6,Mistral-Nemo-Base-2407_A100-80GB_run6_2281417.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,A100-80GB,3,Mistral-7B-v0.3_A100-80GB_run3_2281278.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,10,Mistral-Nemo-Instruct-2407_A100-40GB_run10_2281475.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,9,Mistral-7B-Instruct-v0.3_A100-80GB_run9_2281350.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Base-2407,Local,H200,8,Mistral-Nemo-Base-2407_H200_run8_2281462.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,H200,10,Mistral-Nemo-Base-2407_H200_run10_2281464.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,5,Mistral-Nemo-Instruct-2407_A100-PCI_run5_2281490.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,7,Mistral-7B-Instruct-v0.3_A100-PCI_run7_2281359.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,1,Mistral-7B-Instruct-v0.3_A100-40GB_run1_2281332.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Instruct-2407,Local,H100,10,Mistral-Nemo-Instruct-2407_H100_run10_2281506.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,A100-PCI,9,Mistral-7B-v0.3_A100-PCI_run9_2281297.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,H200,5,Mistral-Nemo-Base-2407_H200_run5_2281459.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,6,Mistral-Nemo-Base-2407_A100-PCI_run6_2281428.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,A100-80GB,3,Mistral-Nemo-Base-2407_A100-80GB_run3_2281412.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H100,5,Mistral-Nemo-Instruct-2407_H100_run5_2281501.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,H100-PCI,4,Mistral-7B-v0.3_H100-PCI_run4_2281312.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H200,4,Mistral-7B-Instruct-v0.3_H200_run4_2281388.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,H100,9,Mistral-7B-v0.3_H100_run9_2281307.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,10,Mistral-Nemo-Base-2407_A100-40GB_run10_2281407.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,1,Mistral-Nemo-Base-2407_A100-PCI_run1_2281423.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,H200,6,Mistral-7B-Instruct-v0.3_H200_run6_2281390.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,A100-PCI,5,Mistral-7B-v0.3_A100-PCI_run5_2281293.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,H100-PCI,10,Mistral-Nemo-Base-2407_H100-PCI_run10_2281454.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,4,Mistral-Nemo-Instruct-2407_A100-80GB_run4_2281479.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100,3,Mistral-7B-Instruct-v0.3_H100_run3_2281365.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Base-2407,Local,H100-PCI,8,Mistral-Nemo-Base-2407_H100-PCI_run8_2281452.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,9,Mistral-7B-Instruct-v0.3_A100-PCI_run9_2281361.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,6,Mistral-7B-Instruct-v0.3_A100-40GB_run6_2281337.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,5,Mistral-7B-Instruct-v0.3_A100-PCI_run5_2281357.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-Instruct-v0.3,Local,H100,9,Mistral-7B-Instruct-v0.3_H100_run9_2281371.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,H100,5,Mistral-7B-v0.3_H100_run5_2281303.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Instruct-2407,Local,H100,6,Mistral-Nemo-Instruct-2407_H100_run6_2281502.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,A100-40GB,3,Mistral-7B-v0.3_A100-40GB_run3_2281264.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-v0.3,Local,H100-PCI,8,Mistral-7B-v0.3_H100-PCI_run8_2281316.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Instruct-2407,Local,H100,9,Mistral-Nemo-Instruct-2407_H100_run9_2281505.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,A100-80GB,8,Mistral-7B-v0.3_A100-80GB_run8_2281285.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,2,Mistral-Nemo-Instruct-2407_A100-80GB_run2_2281477.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-v0.3,Local,A100-PCI,7,Mistral-7B-v0.3_A100-PCI_run7_2281295.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,3,Mistral-Nemo-Base-2407_A100-PCI_run3_2281425.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H200,5,Mistral-Nemo-Instruct-2407_H200_run5_2281521.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-Instruct-v0.3,Local,H100,1,Mistral-7B-Instruct-v0.3_H100_run1_2281363.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Instruct-2407,Local,H100,1,Mistral-Nemo-Instruct-2407_H100_run1_2281497.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,A100-40GB,1,Mistral-7B-v0.3_A100-40GB_run1_2281262.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-v0.3,Local,H100,7,Mistral-7B-v0.3_H100_run7_2281305.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-v0.3,Local,H200,9,Mistral-7B-v0.3_H200_run9_2281329.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H200,1,Mistral-7B-Instruct-v0.3_H200_run1_2281385.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,8,Mistral-Nemo-Instruct-2407_H100-PCI_run8_2281514.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Base-2407,Local,H100,2,Mistral-Nemo-Base-2407_H100_run2_2281435.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,H100-PCI,4,Mistral-Nemo-Base-2407_H100-PCI_run4_2281448.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H200,2,Mistral-Nemo-Instruct-2407_H200_run2_2281518.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,7,Mistral-Nemo-Instruct-2407_H100-PCI_run7_2281513.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Base-2407,Local,A100-PCI,9,Mistral-Nemo-Base-2407_A100-PCI_run9_2281431.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,H200,2,Mistral-7B-v0.3_H200_run2_2281321.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100,6,Mistral-7B-Instruct-v0.3_H100_run6_2281368.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,A100-40GB,6,Mistral-7B-v0.3_A100-40GB_run6_2281267.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Base-2407,Local,H100-PCI,6,Mistral-Nemo-Base-2407_H100-PCI_run6_2281450.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,H200,3,Mistral-Nemo-Base-2407_H200_run3_2281457.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Instruct-2407,Local,H200,6,Mistral-Nemo-Instruct-2407_H200_run6_2281522.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,3,Mistral-Nemo-Instruct-2407_A100-PCI_run3_2281488.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100,10,Mistral-7B-Instruct-v0.3_H100_run10_2281372.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-Instruct-v0.3,Local,A100-40GB,3,Mistral-7B-Instruct-v0.3_A100-40GB_run3_2281334.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Instruct-2407,Local,H200,9,Mistral-Nemo-Instruct-2407_H200_run9_2281525.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,H200,5,Mistral-7B-v0.3_H200_run5_2281324.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H200,8,Mistral-7B-Instruct-v0.3_H200_run8_2281392.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,3,Mistral-Nemo-Instruct-2407_A100-40GB_run3_2281468.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H200,2,Mistral-7B-Instruct-v0.3_H200_run2_2281386.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-v0.3,Local,A100-80GB,9,Mistral-7B-v0.3_A100-80GB_run9_2281287.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,4,Mistral-Nemo-Instruct-2407_H100-PCI_run4_2281510.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,H100-PCI,6,Mistral-7B-v0.3_H100-PCI_run6_2281314.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,5,Mistral-7B-Instruct-v0.3_H100-PCI_run5_2281379.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,1,Mistral-7B-Instruct-v0.3_A100-80GB_run1_2281342.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-v0.3,Local,A100-80GB,7,Mistral-7B-v0.3_A100-80GB_run7_2281283.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,8,Mistral-7B-Instruct-v0.3_H100-PCI_run8_2281382.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Instruct-2407,Local,H100-PCI,10,Mistral-Nemo-Instruct-2407_H100-PCI_run10_2281516.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,9,Mistral-Nemo-Instruct-2407_A100-80GB_run9_2281484.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-v0.3,Local,A100-40GB,9,Mistral-7B-v0.3_A100-40GB_run9_2281271.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-Nemo-Instruct-2407,Local,H100,3,Mistral-Nemo-Instruct-2407_H100_run3_2281499.out,100,7917,324943,332860,79.2,3249.4,3328.6,,,,
Mistral-7B-v0.3,Local,H100-PCI,3,Mistral-7B-v0.3_H100-PCI_run3_2281311.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-v0.3,Local,A100-PCI,2,Mistral-7B-v0.3_A100-PCI_run2_2281290.out,100,8723,410396,419119,87.2,4104.0,4191.2,,,,
Mistral-7B-v0.3,Local,H100-PCI,1,Mistral-7B-v0.3_H100-PCI_run1_2281309.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Base-2407,Local,H100,3,Mistral-Nemo-Base-2407_H100_run3_2281436.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-v0.3,Local,H200,3,Mistral-7B-v0.3_H200_run3_2281322.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100,4,Mistral-7B-Instruct-v0.3_H100_run4_2281366.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Instruct-2407,Local,A100-PCI,1,Mistral-Nemo-Instruct-2407_A100-PCI_run1_2281486.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Base-2407,Local,H100-PCI,1,Mistral-Nemo-Base-2407_H100-PCI_run1_2281444.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-Nemo-Base-2407,Local,H200,6,Mistral-Nemo-Base-2407_H200_run6_2281460.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-PCI,2,Mistral-7B-Instruct-v0.3_A100-PCI_run2_2281354.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-7B-v0.3,Local,H100,2,Mistral-7B-v0.3_H100_run2_2281300.out,100,8723,364320,373043,87.2,3643.2,3730.4,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,2,Mistral-Nemo-Base-2407_A100-40GB_run2_2281397.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Mistral-7B-Instruct-v0.3,Local,A100-80GB,6,Mistral-7B-Instruct-v0.3_A100-80GB_run6_2281347.out,100,8723,277496,286219,87.2,2775.0,2862.2,,,,
Mistral-Nemo-Instruct-2407,Local,A100-40GB,1,Mistral-Nemo-Instruct-2407_A100-40GB_run1_2281466.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-Nemo-Instruct-2407,Local,A100-80GB,5,Mistral-Nemo-Instruct-2407_A100-80GB_run5_2281480.out,100,7917,321428,329345,79.2,3214.3,3293.4,,,,
Mistral-7B-Instruct-v0.3,Local,H100-PCI,10,Mistral-7B-Instruct-v0.3_H100-PCI_run10_2281384.out,100,8723,318951,327674,87.2,3189.5,3276.7,,,,
Mistral-Nemo-Base-2407,Local,A100-40GB,5,Mistral-Nemo-Base-2407_A100-40GB_run5_2281400.out,100,7917,296427,304344,79.2,2964.3,3043.4,,,,
Llama-3.1-8B,Local,H100-PCI,6,Llama-3.1-8B_H100-PCI_run6_2238864.out,100,8076,435399,443475,80.8,4354.0,4434.8,,,,
Llama-3.1-8B,Local,H200,9,Llama-3.1-8B_H200_run9_2238877.out,100,8308,401823,410131,83.1,4018.2,4101.3,,,,
