model,tier,run_number,start_datetime,end_datetime,samples_processed,failed_calls,total_batch_time_seconds,total_api_time_seconds,avg_api_call_seconds,total_input_tokens,total_output_tokens,total_tokens,throughput_tokens_per_second,source_file
open-mistral-7b,free,53,2025-11-21 09:33:07,2025-11-21 09:44:19,100,0,672,672,6.73,8923,107953,116876,160.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,54,2025-11-21 10:14:19,2025-11-21 10:25:09,100,0,650,650,6.50,8923,101849,110772,156.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,55,2025-11-21 10:55:10,2025-11-21 11:05:06,99,1,1496,596,6.02,8767,91791,100558,153.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,56,2025-11-21 11:50:06,2025-11-21 11:59:59,100,0,593,593,5.93,8923,92108,101031,155.3,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,57,2025-11-21 12:30:00,2025-11-21 12:40:17,99,1,1517,617,6.23,8876,94242,103118,152.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,58,2025-11-21 13:25:17,2025-11-21 13:36:01,100,0,644,644,6.45,8923,101665,110588,157.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,59,2025-11-21 14:06:01,2025-11-21 14:16:05,100,0,604,604,6.04,8923,93673,102596,155.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,60,2025-11-21 14:46:06,2025-11-21 14:55:56,100,0,590,590,5.91,8923,91424,100347,154.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,61,2025-11-21 15:25:57,2025-11-21 15:35:49,100,0,592,592,5.92,8923,92252,101175,155.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,62,2025-11-21 16:05:49,2025-11-21 16:17:29,100,0,700,700,7.00,8923,100635,109558,143.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,63,2025-11-21 16:47:29,2025-11-21 16:57:42,100,0,613,613,6.14,8923,95159,104082,155.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,64,2025-11-21 17:27:43,2025-11-21 17:37:41,100,0,598,598,5.99,8923,94576,103499,157.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,65,2025-11-21 18:07:42,2025-11-21 18:18:13,100,0,631,631,6.31,8923,99565,108488,157.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,66,2025-11-21 18:48:13,2025-11-21 18:58:08,100,0,595,595,5.96,8923,92673,101596,155.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,67,2025-11-21 19:28:09,2025-11-21 19:39:05,100,0,656,656,6.57,8923,100304,109227,152.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,68,2025-11-21 20:09:06,2025-11-21 20:18:56,100,0,590,590,5.91,8923,93338,102261,158.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,69,2025-11-21 20:48:57,2025-11-21 20:59:39,100,0,642,642,6.43,8923,101331,110254,157.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,70,2025-11-21 21:29:40,2025-11-21 21:41:14,100,0,694,694,6.95,8923,108954,117877,156.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,71,2025-11-21 22:11:15,2025-11-21 22:21:45,100,0,630,630,6.31,8923,99483,108406,157.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,72,2025-11-21 22:51:45,2025-11-21 23:03:03,100,0,678,678,6.79,8923,107228,116151,158.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,73,2025-11-21 23:33:04,2025-11-21 23:44:34,100,0,690,690,6.91,8923,108192,117115,156.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,74,2025-11-22 00:14:35,2025-11-22 00:25:01,100,0,626,626,6.26,8923,99578,108501,159.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,75,2025-11-22 00:55:02,2025-11-22 01:05:37,100,0,635,635,6.35,8923,99121,108044,156.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,76,2025-11-22 01:35:37,2025-11-22 01:45:48,100,0,611,611,6.12,8923,96682,105605,158.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,77,2025-11-22 02:15:49,2025-11-22 02:25:55,100,0,606,606,6.07,8923,95737,104660,157.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,78,2025-11-22 02:55:56,2025-11-22 03:06:13,100,0,617,617,6.17,8923,98033,106956,158.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,79,2025-11-22 03:36:13,2025-11-22 03:46:41,100,0,628,628,6.29,8923,99026,107949,157.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,80,2025-11-22 04:16:42,2025-11-22 04:27:41,100,0,659,659,6.60,8923,105999,114922,160.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,81,2025-11-22 04:57:41,2025-11-22 05:08:44,100,0,663,663,6.64,8923,104086,113009,156.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,82,2025-11-22 05:38:45,2025-11-22 05:49:13,100,0,628,628,6.29,8923,100845,109768,160.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,83,2025-11-22 06:19:14,2025-11-22 06:29:14,100,0,600,600,6.00,8923,96071,104994,160.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,84,2025-11-22 06:59:15,2025-11-22 07:09:34,100,0,619,619,6.19,8923,99863,108786,161.3,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,85,2025-11-22 07:39:34,2025-11-22 07:50:13,100,0,639,639,6.40,8923,102753,111676,160.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,86,2025-11-22 08:20:14,2025-11-22 08:31:11,100,0,657,657,6.58,8923,104658,113581,159.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,87,2025-11-22 09:01:12,2025-11-22 09:11:23,100,0,611,611,6.12,8923,97110,106033,158.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,88,2025-11-22 09:41:24,2025-11-22 09:52:48,100,0,684,684,6.85,8923,105799,114722,154.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,89,2025-11-22 10:22:48,2025-11-22 10:32:59,100,0,611,611,6.12,8923,94191,103114,154.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,90,2025-11-22 11:03:00,2025-11-22 11:13:25,100,0,625,625,6.26,8923,97677,106600,156.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,91,2025-11-22 11:43:26,2025-11-22 11:53:30,100,0,604,604,6.05,8923,94581,103504,156.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,92,2025-11-22 12:23:31,2025-11-22 12:35:30,100,0,719,719,7.20,8923,109271,118194,151.9,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,93,2025-11-22 13:05:30,2025-11-22 13:16:04,100,0,634,634,6.35,8923,94453,103376,148.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,94,2025-11-22 13:46:05,2025-11-22 13:56:38,100,0,633,633,6.33,8923,97830,106753,154.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,95,2025-11-22 14:26:38,2025-11-22 14:37:17,100,0,639,639,6.39,8923,98653,107576,154.4,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,96,2025-11-22 15:07:17,2025-11-22 15:17:35,100,0,618,618,6.19,8923,94055,102978,152.0,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,97,2025-11-22 15:47:36,2025-11-22 15:57:53,100,0,617,617,6.17,8923,94803,103726,153.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,98,2025-11-22 16:27:53,2025-11-22 16:38:49,100,0,656,656,6.57,8923,99916,108839,152.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,99,2025-11-22 17:08:50,2025-11-22 17:19:35,100,0,645,645,6.46,8923,93352,102275,144.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,100,2025-11-22 17:49:36,2025-11-22 18:01:19,100,0,703,703,7.03,8923,102101,111024,145.1,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,101,2025-11-22 18:31:19,2025-11-22 18:42:46,100,0,687,687,6.88,8923,102966,111889,149.7,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,102,2025-11-22 19:12:48,2025-11-22 19:23:37,100,0,649,649,6.49,8923,98998,107921,152.5,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,103,2025-11-22 19:53:37,2025-11-22 20:04:20,100,0,643,643,6.44,8923,101267,110190,157.3,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,104,2025-11-22 20:34:21,2025-11-22 20:45:18,100,0,657,657,6.58,8923,96546,105469,146.8,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,105,2025-11-22 21:15:19,2025-11-22 21:26:10,100,0,651,651,6.51,8923,97792,106715,150.2,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,106,2025-11-22 21:56:10,2025-11-22 22:06:46,100,0,636,636,6.37,8923,93969,102892,147.6,open-mistral-7b_scheduled3_2318100.out
open-mistral-7b,free,1,2025-11-10 10:48:54,2025-11-10 11:01:20,100,0,746,746,7.46,8923,100811,109734,135.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,2,2025-11-10 11:31:20,2025-11-10 11:42:32,100,0,672,672,6.73,8923,93157,102080,138.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,3,2025-11-10 12:12:33,2025-11-10 12:23:22,99,1,1549,649,6.56,8797,95449,104246,147.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,4,2025-11-10 13:08:22,2025-11-10 13:19:24,99,1,801,662,6.69,8886,97072,105958,146.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,5,2025-11-10 13:51:44,2025-11-10 14:04:43,99,1,1679,779,7.88,8886,115393,124279,148.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,6,2025-11-10 14:49:44,2025-11-10 15:00:12,100,0,628,628,6.28,8923,92771,101694,147.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,7,2025-11-10 15:30:12,2025-11-10 15:41:17,100,0,665,665,6.65,8923,96329,105252,144.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,8,2025-11-10 16:11:17,2025-11-10 16:22:12,100,0,655,655,6.55,8923,96691,105614,147.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,9,2025-11-10 16:52:13,2025-11-10 17:03:07,100,0,654,654,6.55,8923,94529,103452,144.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,10,2025-11-10 17:33:08,2025-11-10 17:45:21,100,0,733,733,7.34,8923,100391,109314,136.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,11,2025-11-10 18:15:22,2025-11-10 18:25:53,100,0,631,631,6.31,8923,92224,101147,146.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,12,2025-11-10 18:55:53,2025-11-10 19:07:57,100,0,724,724,7.25,8923,105455,114378,145.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,13,2025-11-10 19:37:58,2025-11-10 19:48:49,100,0,651,651,6.52,8923,95496,104419,146.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,14,2025-11-10 20:18:50,2025-11-10 20:29:27,100,0,637,637,6.37,8923,95255,104178,149.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,15,2025-11-10 20:59:27,2025-11-10 21:10:05,100,0,638,638,6.39,8923,95813,104736,150.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,16,2025-11-10 21:40:06,2025-11-10 21:50:47,100,0,641,641,6.41,8923,94358,103281,147.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,17,2025-11-10 22:20:47,2025-11-10 22:31:46,100,0,659,659,6.60,8923,99019,107942,150.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,18,2025-11-10 23:01:47,2025-11-10 23:11:58,100,0,611,611,6.11,8923,92535,101458,151.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,19,2025-11-10 23:41:58,2025-11-10 23:54:01,100,0,723,723,7.24,8923,109455,118378,151.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,20,2025-11-11 00:24:02,2025-11-11 00:34:22,100,0,620,620,6.20,8923,94253,103176,152.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,21,2025-11-11 01:04:23,2025-11-11 01:14:39,100,0,616,616,6.17,8923,93244,102167,151.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,22,2025-11-11 01:44:39,2025-11-11 01:55:28,100,0,649,649,6.49,8923,97517,106440,150.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,23,2025-11-11 02:25:28,2025-11-11 02:36:02,100,0,634,634,6.35,8923,93805,102728,147.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,24,2025-11-11 03:06:03,2025-11-11 03:16:40,100,0,637,637,6.38,8923,95469,104392,149.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,25,2025-11-11 03:46:41,2025-11-11 03:57:33,100,0,652,652,6.53,8923,99082,108005,151.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,26,2025-11-11 04:27:34,2025-11-11 04:37:46,100,0,612,612,6.12,8923,90605,99528,148.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,27,2025-11-11 05:07:46,2025-11-11 05:18:13,100,0,627,627,6.28,8923,94384,103307,150.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,28,2025-11-11 05:48:15,2025-11-11 05:59:11,100,0,656,656,6.57,8923,99396,108319,151.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,29,2025-11-11 06:29:12,2025-11-11 06:40:16,100,0,664,664,6.64,8923,99015,107938,149.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,30,2025-11-11 07:10:16,2025-11-11 07:22:36,100,0,740,740,7.40,8923,109398,118321,147.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,31,2025-11-11 07:52:36,2025-11-11 08:04:05,100,0,689,689,6.90,8923,104236,113159,151.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,32,2025-11-11 08:34:06,2025-11-11 08:45:33,100,0,687,687,6.88,8923,102515,111438,149.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,33,2025-11-11 09:15:34,2025-11-11 09:26:12,100,0,638,638,6.39,8923,94558,103481,148.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,34,2025-11-11 09:56:12,2025-11-11 10:06:47,100,0,635,635,6.35,8923,92126,101049,145.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,35,2025-11-11 10:36:48,2025-11-11 10:47:24,100,0,636,636,6.36,8923,91721,100644,144.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,36,2025-11-11 11:17:24,2025-11-11 11:28:07,100,0,643,643,6.43,8923,94459,103382,146.9,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,37,2025-11-11 11:58:07,2025-11-11 12:08:52,100,0,645,645,6.45,8923,95090,104013,147.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,38,2025-11-11 12:38:53,2025-11-11 12:49:17,100,0,624,624,6.25,8923,94190,103113,150.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,39,2025-11-11 13:19:18,2025-11-11 13:32:14,100,0,776,776,7.76,8923,116338,125261,149.9,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,40,2025-11-11 14:02:14,2025-11-11 14:12:56,100,0,642,642,6.43,8923,95551,104474,148.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,41,2025-11-11 14:42:57,2025-11-11 14:53:55,100,0,658,658,6.58,8923,98367,107290,149.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,42,2025-11-11 15:23:55,2025-11-11 15:35:20,100,0,685,685,6.86,8923,101158,110081,147.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,43,2025-11-11 16:05:21,2025-11-11 16:16:06,100,0,645,645,6.46,8923,93141,102064,144.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,44,2025-11-11 16:46:07,2025-11-11 16:56:33,100,0,626,626,6.27,8923,94654,103577,151.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,45,2025-11-11 17:26:33,2025-11-11 17:37:27,100,0,654,654,6.54,8923,93065,101988,142.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,46,2025-11-11 18:07:28,2025-11-11 18:19:07,100,0,699,699,7.00,8923,101197,110120,144.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,47,2025-11-11 18:49:08,2025-11-11 19:01:43,100,0,755,755,7.55,8923,103648,112571,137.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,48,2025-11-11 19:31:43,2025-11-11 19:43:09,100,0,686,686,6.87,8923,98625,107548,143.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,49,2025-11-11 20:13:10,2025-11-11 20:24:33,100,0,683,683,6.84,8923,102461,111384,149.9,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,50,2025-11-11 20:54:34,2025-11-11 21:05:44,99,1,674,670,6.77,8784,99771,108555,148.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,51,2025-11-11 21:35:48,2025-11-11 21:47:00,100,0,672,672,6.73,8923,96429,105352,143.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,52,2025-11-11 22:17:01,2025-11-11 22:27:12,100,0,611,611,6.12,8923,90580,99503,148.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,53,2025-11-11 22:57:13,2025-11-11 23:08:21,100,0,668,668,6.68,8923,99099,108022,148.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,54,2025-11-11 23:38:22,2025-11-11 23:48:45,100,0,623,623,6.23,8923,93770,102693,150.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,55,2025-11-12 00:18:45,2025-11-12 00:29:11,100,0,626,626,6.27,8923,95171,104094,151.9,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,56,2025-11-12 00:59:12,2025-11-12 01:09:36,100,0,624,624,6.24,8923,92563,101486,148.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,57,2025-11-12 01:39:36,2025-11-12 01:49:53,100,0,617,617,6.17,8923,93782,102705,152.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,58,2025-11-12 02:19:53,2025-11-12 02:31:13,100,0,680,680,6.80,8923,102076,110999,150.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,59,2025-11-12 03:01:13,2025-11-12 03:12:02,100,0,649,649,6.50,8923,97193,106116,149.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,60,2025-11-12 03:42:03,2025-11-12 03:52:55,100,0,652,652,6.53,8923,98911,107834,151.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,61,2025-11-12 04:22:56,2025-11-12 04:33:34,100,0,638,638,6.39,8923,97042,105965,152.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,62,2025-11-12 05:03:34,2025-11-12 05:14:55,100,0,681,681,6.81,8923,102584,111507,150.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,63,2025-11-12 05:44:56,2025-11-12 05:56:57,100,0,721,721,7.21,8923,98339,107262,136.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,64,2025-11-12 06:26:57,2025-11-12 06:38:13,100,0,676,676,6.77,8923,101043,109966,149.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,65,2025-11-12 07:08:14,2025-11-12 07:19:30,100,0,676,676,6.76,8923,91340,100263,135.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,66,2025-11-12 07:49:31,2025-11-12 07:59:41,100,0,610,610,6.11,8923,90155,99078,147.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,67,2025-11-12 08:29:41,2025-11-12 08:41:02,100,0,681,681,6.82,8923,102422,111345,150.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,68,2025-11-12 09:11:03,2025-11-12 09:21:32,100,0,629,629,6.29,8923,92899,101822,147.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,69,2025-11-12 09:51:32,2025-11-12 10:03:05,100,0,693,693,6.94,8923,101299,110222,146.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,70,2025-11-12 10:33:06,2025-11-12 10:44:37,100,0,691,691,6.91,8923,101890,110813,147.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,71,2025-11-12 11:14:37,2025-11-12 11:25:09,100,0,632,632,6.33,8923,93507,102430,147.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,72,2025-11-12 11:55:10,2025-11-12 12:06:44,100,0,694,694,6.95,8923,98786,107709,142.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,73,2025-11-12 12:36:45,2025-11-12 12:47:27,100,0,642,642,6.43,8923,93284,102207,145.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,74,2025-11-12 13:17:28,2025-11-12 13:29:02,100,0,694,694,6.95,8923,102845,111768,148.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,75,2025-11-12 13:59:03,2025-11-12 14:10:11,100,0,668,668,6.69,8923,94540,103463,141.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,76,2025-11-12 14:40:12,2025-11-12 14:51:05,100,0,653,653,6.54,8923,97448,106371,149.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,77,2025-11-12 15:21:05,2025-11-12 15:33:25,100,0,740,740,7.40,8923,108306,117229,146.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,78,2025-11-12 16:03:25,2025-11-12 16:14:58,100,0,693,693,6.94,8923,102866,111789,148.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,79,2025-11-12 16:45:00,2025-11-12 16:56:21,100,0,681,681,6.81,8923,101656,110579,149.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,80,2025-11-12 17:26:21,2025-11-12 17:38:18,100,0,717,717,7.18,8923,105358,114281,146.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,81,2025-11-12 18:08:19,2025-11-12 18:19:36,100,0,677,677,6.77,8923,98590,107513,145.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,82,2025-11-12 18:49:36,2025-11-12 19:01:07,100,0,691,691,6.92,8923,102923,111846,148.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,83,2025-11-12 19:31:08,2025-11-12 19:41:47,100,0,639,639,6.39,8923,94044,102967,147.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,84,2025-11-12 20:11:48,2025-11-12 20:22:12,100,0,624,624,6.25,8923,92701,101624,148.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,85,2025-11-12 20:52:12,2025-11-12 21:02:57,100,0,645,645,6.45,8923,95702,104625,148.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,86,2025-11-12 21:32:58,2025-11-12 21:44:08,100,0,670,670,6.71,8923,98533,107456,146.9,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,87,2025-11-12 22:14:09,2025-11-12 22:24:53,100,0,644,644,6.44,8923,95703,104626,148.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,88,2025-11-12 22:54:53,2025-11-12 23:06:15,100,0,682,682,6.82,8923,98739,107662,144.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,89,2025-11-12 23:36:15,2025-11-12 23:46:59,100,0,644,644,6.45,8923,97490,106413,151.2,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,90,2025-11-13 00:17:00,2025-11-13 00:28:12,100,0,672,672,6.72,8923,101699,110622,151.3,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,91,2025-11-13 00:58:12,2025-11-13 01:08:57,100,0,645,645,6.45,8923,95238,104161,147.6,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,92,2025-11-13 01:38:58,2025-11-13 01:49:45,100,0,647,647,6.47,8923,97595,106518,150.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,93,2025-11-13 02:19:45,2025-11-13 02:30:16,100,0,631,631,6.31,8923,95958,104881,152.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,94,2025-11-13 03:00:16,2025-11-13 03:10:50,100,0,634,634,6.34,8923,95871,104794,151.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,95,2025-11-13 03:40:51,2025-11-13 03:52:10,100,0,679,679,6.80,8923,102996,111919,151.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,96,2025-11-13 04:22:11,2025-11-13 04:34:18,100,0,727,727,7.27,8923,107533,116456,147.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,97,2025-11-13 05:04:18,2025-11-13 05:15:29,100,0,671,671,6.72,8923,100642,109565,149.9,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,98,2025-11-13 05:45:30,2025-11-13 05:57:17,100,0,707,707,7.07,8923,107393,116316,151.8,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,99,2025-11-13 06:27:17,2025-11-13 06:39:09,100,0,712,712,7.13,8923,103748,112671,145.5,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,100,2025-11-13 07:09:10,2025-11-13 07:20:17,100,0,667,667,6.68,8923,99788,108711,149.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,101,2025-11-13 07:50:18,2025-11-13 08:01:54,100,0,696,696,6.96,8923,103800,112723,149.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,102,2025-11-13 08:31:55,2025-11-13 08:43:53,100,0,718,718,7.18,8923,107866,116789,150.1,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,103,2025-11-13 09:13:53,2025-11-13 09:25:32,100,0,699,699,7.00,8923,100342,109265,143.4,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,104,2025-11-13 09:55:33,2025-11-13 10:06:18,100,0,645,645,6.46,8923,95603,104526,148.0,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,free,105,2025-11-13 10:36:19,2025-11-13 10:47:03,100,0,644,644,6.45,8923,93912,102835,145.7,open-mistral-7b_scheduled_2289083.out
open-mistral-7b,paid,1,2025-11-16 21:10:36,2025-11-16 21:21:18,100,0,642,642,6.43,8923,95660,104583,148.8,open-mistral-7b_scheduled_paid2_2306551.out
open-mistral-7b,paid,2,2025-11-16 21:51:19,2025-11-16 22:01:59,100,0,640,640,6.41,8923,95229,104152,148.6,open-mistral-7b_scheduled_paid2_2306551.out
open-mistral-7b,paid,3,2025-11-16 22:32:00,2025-11-16 22:44:43,100,0,763,763,7.63,8923,114746,123669,150.4,open-mistral-7b_scheduled_paid2_2306551.out
open-mistral-7b,paid,4,2025-11-16 23:14:43,2025-11-16 23:25:02,100,0,619,619,6.20,8923,91759,100682,148.0,open-mistral-7b_scheduled_paid2_2306551.out
open-mistral-7b,paid,5,2025-11-16 23:55:03,2025-11-17 00:06:45,100,0,702,702,7.03,8923,104244,113167,148.4,open-mistral-7b_scheduled_paid2_2306551.out
