model,tier,run_number,start_datetime,end_datetime,samples_processed,failed_calls,total_batch_time_seconds,total_api_time_seconds,avg_api_call_seconds,total_input_tokens,total_output_tokens,total_tokens,throughput_tokens_per_second,source_file
open-mistral-7b,free,37,2025-11-17 21:50:30,2025-11-17 22:01:40,100,0,670,670,6.71,8923,92146,101069,137.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,38,2025-11-17 22:31:41,2025-11-17 22:43:32,100,0,711,711,7.11,8923,101577,110500,142.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,39,2025-11-17 23:13:32,2025-11-17 23:24:37,100,0,665,665,6.65,8923,94544,103467,142.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,40,2025-11-17 23:54:37,2025-11-18 00:06:09,100,0,692,692,6.93,8923,95339,104262,137.6,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,41,2025-11-18 00:36:10,2025-11-18 00:47:13,100,0,663,663,6.64,8923,92187,101110,138.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,42,2025-11-18 01:17:14,2025-11-18 01:28:21,100,0,667,667,6.68,8923,95415,104338,142.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,43,2025-11-18 01:58:22,2025-11-18 02:10:01,100,0,699,699,7.00,8923,100948,109871,144.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,44,2025-11-18 02:40:02,2025-11-18 02:50:34,100,0,632,632,6.32,8923,93830,102753,148.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,45,2025-11-18 03:20:34,2025-11-18 03:32:39,100,0,725,725,7.25,8923,106290,115213,146.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,46,2025-11-18 04:02:39,2025-11-18 04:13:46,100,0,667,667,6.67,8923,98068,106991,147.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,47,2025-11-18 04:43:47,2025-11-18 04:56:02,100,0,735,735,7.36,8923,107528,116451,146.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,48,2025-11-18 05:26:02,2025-11-18 05:37:39,100,0,697,697,6.97,8923,100635,109558,144.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,49,2025-11-18 06:07:40,2025-11-18 06:18:27,100,0,647,647,6.48,8923,95483,104406,147.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,50,2025-11-18 06:48:28,2025-11-18 06:59:04,100,0,636,636,6.36,8923,91709,100632,144.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,51,2025-11-18 07:29:04,2025-11-18 07:40:50,100,0,706,706,7.07,8923,101182,110105,143.1,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,52,2025-11-18 08:10:51,2025-11-18 08:21:49,100,0,658,658,6.59,8923,94702,103625,143.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,53,2025-11-18 08:51:50,2025-11-18 09:02:45,100,0,655,655,6.56,8923,93257,102180,142.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,54,2025-11-18 09:32:46,2025-11-18 09:44:43,100,0,717,717,7.18,8923,102634,111557,143.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,55,2025-11-18 10:14:44,2025-11-18 10:26:08,100,0,684,684,6.85,8923,98992,107915,144.6,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,56,2025-11-18 10:56:08,2025-11-18 11:07:49,100,0,701,701,7.01,8923,100405,109328,143.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,57,2025-11-18 11:37:50,2025-11-18 11:48:58,100,0,668,668,6.69,8923,96617,105540,144.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,58,2025-11-18 12:18:59,2025-11-18 12:29:27,100,0,628,628,6.28,8923,93843,102766,149.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,59,2025-11-18 12:59:27,2025-11-18 13:10:08,100,0,641,641,6.42,8923,93576,102499,145.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,60,2025-11-18 13:40:09,2025-11-18 13:50:53,100,0,644,644,6.45,8923,93306,102229,144.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,61,2025-11-18 14:20:54,2025-11-18 14:32:12,100,0,678,678,6.79,8923,100382,109305,147.9,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,62,2025-11-18 15:02:12,2025-11-18 15:13:51,100,0,699,699,6.99,8923,104919,113842,150.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,63,2025-11-18 15:43:52,2025-11-18 15:55:42,100,0,710,710,7.10,8923,103156,112079,145.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,64,2025-11-18 16:25:42,2025-11-18 16:37:46,100,0,724,724,7.25,8923,107545,116468,148.4,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,65,2025-11-18 17:07:47,2025-11-18 17:19:01,100,0,674,674,6.75,8923,92922,101845,137.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,66,2025-11-18 17:49:01,2025-11-18 18:01:40,100,0,759,759,7.60,8923,97031,105954,127.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,67,2025-11-18 18:31:41,2025-11-18 18:43:26,100,0,705,705,7.05,8923,97020,105943,137.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,68,2025-11-18 19:13:27,2025-11-18 19:24:30,100,0,663,663,6.64,8923,92885,101808,140.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,69,2025-11-18 19:54:31,2025-11-18 20:07:16,100,0,765,765,7.66,8923,104742,113665,136.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,70,2025-11-18 20:37:17,2025-11-18 20:50:00,100,0,763,763,7.63,8923,109729,118652,143.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,71,2025-11-18 21:20:00,2025-11-18 21:31:56,100,0,716,716,7.17,8923,104155,113078,145.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,72,2025-11-18 22:01:57,2025-11-18 22:13:40,100,0,703,703,7.03,8923,96038,104961,136.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,73,2025-11-18 22:43:41,2025-11-18 22:55:53,100,0,732,732,7.32,8923,103354,112277,141.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,74,2025-11-18 23:25:53,2025-11-18 23:39:13,100,0,800,800,8.00,8923,108484,117407,135.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,75,2025-11-19 00:09:13,2025-11-19 00:21:37,100,0,744,744,7.44,8923,100724,109647,135.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,76,2025-11-19 00:51:38,2025-11-19 01:03:47,100,0,729,729,7.29,8923,101960,110883,139.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,77,2025-11-19 01:33:47,2025-11-19 01:46:13,100,0,746,746,7.47,8923,100605,109528,134.8,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,78,2025-11-19 02:16:14,2025-11-19 02:27:01,100,0,647,647,6.47,8923,91705,100628,141.7,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,79,2025-11-19 02:57:01,2025-11-19 03:09:57,100,0,776,776,7.77,8923,101018,109941,130.0,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,80,2025-11-19 03:39:58,2025-11-19 03:52:11,100,0,733,733,7.34,8923,103121,112044,140.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,81,2025-11-19 04:22:12,2025-11-19 04:32:52,100,0,640,640,6.40,8923,93185,102108,145.5,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,82,2025-11-19 05:02:53,2025-11-19 05:14:19,100,0,686,686,6.86,8923,97704,106627,142.3,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,83,2025-11-19 05:44:19,2025-11-19 05:55:24,100,0,665,665,6.66,8923,92676,101599,139.2,open-mistral-7b_scheduled2_2306547.out
open-mistral-7b,free,84,2025-11-19 06:25:25,2025-11-19 06:36:48,100,0,683,683,6.84,8923,95220,104143,139.2,open-mistral-7b_scheduled2_2306547.out
