Type,Model,GPU,Run,Metric,Value
Local,Mistral-7B-Instruct-v0.3,A100-80GB,1,Time,00:38:31
Local,Mistral-7B-Instruct-v0.3,A100-80GB,2,Time,00:38:33
Local,Mistral-7B-Instruct-v0.3,A100-80GB,3,Time,00:38:11
Local,Mistral-7B-Instruct-v0.3,A100-80GB,4,Time,00:38:33
Local,Mistral-7B-Instruct-v0.3,A100-80GB,5,Time,00:38:34
Local,Mistral-7B-Instruct-v0.3,A100-80GB,6,Time,00:38:14
Local,Mistral-7B-Instruct-v0.3,A100-80GB,7,Time,00:38:30
Local,Mistral-7B-Instruct-v0.3,A100-80GB,8,Time,00:38:34
Local,Mistral-7B-Instruct-v0.3,A100-80GB,9,Time,00:38:27
Local,Mistral-7B-Instruct-v0.3,A100-80GB,10,Time,00:38:31
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,CO2eq,102.753395
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,CO2eq,103.646479
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,CO2eq,103.026147
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,CO2eq,104.684856
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,CO2eq,102.778874
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,CO2eq,103.459938
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,CO2eq,102.302054
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,CO2eq,104.173679
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,CO2eq,104.080259
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,CO2eq,103.702095
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,Distance,0.955846
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,Distance,0.964153
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,Distance,0.958383
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,Distance,0.973813
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,Distance,0.956083
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,Distance,0.962418
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,Distance,0.951647
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,Distance,0.969057
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,Distance,0.968188
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,Distance,0.964671
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,Energy,0.269729
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,Energy,0.272073
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,Energy,0.270445
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,Energy,0.274799
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,Energy,0.269796
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,Energy,0.271584
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,Energy,0.268544
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,Energy,0.273457
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,Energy,0.273212
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,Energy,0.272219
Local,Mistral-7B-Instruct-v0.3,A100-PCI,1,Time,00:41:54
Local,Mistral-7B-Instruct-v0.3,A100-PCI,2,Time,00:42:05
Local,Mistral-7B-Instruct-v0.3,A100-PCI,3,Time,00:42:06
Local,Mistral-7B-Instruct-v0.3,A100-PCI,4,Time,00:42:29
Local,Mistral-7B-Instruct-v0.3,A100-PCI,5,Time,00:41:54
Local,Mistral-7B-Instruct-v0.3,A100-PCI,6,Time,00:42:08
Local,Mistral-7B-Instruct-v0.3,A100-PCI,7,Time,00:41:36
Local,Mistral-7B-Instruct-v0.3,A100-PCI,8,Time,00:42:13
Local,Mistral-7B-Instruct-v0.3,A100-PCI,9,Time,00:42:19
Local,Mistral-7B-Instruct-v0.3,A100-PCI,10,Time,00:42:10
Local,Mistral-7B-Instruct-v0.3,H100,1,CO2eq,133.236759
Local,Mistral-7B-Instruct-v0.3,H100,2,CO2eq,130.28083
Local,Mistral-7B-Instruct-v0.3,H100,3,CO2eq,134.977399
Local,Mistral-7B-Instruct-v0.3,H100,4,CO2eq,131.9864
Local,Mistral-7B-Instruct-v0.3,H100,5,CO2eq,135.970176
Local,Mistral-7B-Instruct-v0.3,H100,6,CO2eq,130.14915
Local,Mistral-7B-Instruct-v0.3,H100,7,CO2eq,134.738938
Local,Mistral-7B-Instruct-v0.3,H100,8,CO2eq,131.835419
Local,Mistral-7B-Instruct-v0.3,H100,9,CO2eq,134.936598
Local,Mistral-7B-Instruct-v0.3,H100,10,CO2eq,133.767229
Local,Mistral-7B-Instruct-v0.3,H100,1,Distance,1.239412
Local,Mistral-7B-Instruct-v0.3,H100,2,Distance,1.211915
Local,Mistral-7B-Instruct-v0.3,H100,3,Distance,1.255604
Local,Mistral-7B-Instruct-v0.3,H100,4,Distance,1.22778
Local,Mistral-7B-Instruct-v0.3,H100,5,Distance,1.264839
Local,Mistral-7B-Instruct-v0.3,H100,6,Distance,1.21069
Local,Mistral-7B-Instruct-v0.3,H100,7,Distance,1.253385
Local,Mistral-7B-Instruct-v0.3,H100,8,Distance,1.226376
Local,Mistral-7B-Instruct-v0.3,H100,9,Distance,1.255224
